1523407682.814593|M|register internal trackpad|
1523407682.814823|STDEV|63|
1523407682.814891|swi|check device class|
1523407682.814903|swi|shortcuts used|
1523407683.859900|short|eventtap success|
1523407683.861848|short|register disable hotkeys|
1523407683.862848|short|register all hotkeys for current app|
1523407683.863617|short|register all hotkeys|
1523407684.598017|short|register all hotkeys for current app|
1523407684.599287|M|mt_stop2|
1523407684.599460|M|checking|
1523407684.601112|M|unregister internal trackpad|
1523407684.601833|M|checking|
1523407684.602748|M|register internal trackpad|
1523407684.602953|STDEV|63|
1523407684.607370|M|checking|
1523407684.607819|ASL|disabling touch for internal trackpad (clamshell)|
1523407684.661460|ASL|Bonjour Service Published: domain(local.) type(_bttremote._tcp.) name(lizzy) port(56900)|
1523407684.776625|ASL|[Crashlytics:Crash] Warning: NSApplicationCrashOnExceptions is not set. This will result in poor top-level uncaught exception reporting.|
1523407685.923356|short|register all hotkeys for current app|
1523407728.123449|M|mt_stop2|
1523407728.123732|M|checking|
1523407728.124990|M|unregister internal trackpad|
1523407728.126231|M|checking|
1523407728.127393|M|register internal trackpad|
1523407728.127680|STDEV|63|
1523407937.679454|M|mt_stop2|
1523407937.679691|M|checking|
1523407937.681455|M|unregister internal trackpad|
1523407937.682312|M|checking|
1523407937.683207|M|register internal trackpad|
1523407937.683454|STDEV|63|
1523407937.779708|M|mt_stop2|
1523407937.779906|M|checking|
1523407937.782072|M|unregister internal trackpad|
1523407937.782890|M|checking|
1523407937.783839|M|register internal trackpad|
1523407937.784124|STDEV|63|
1523407939.863046|M|mt_stop2|
1523407939.863339|M|checking|
1523407939.865033|M|unregister internal trackpad|
1523407939.866235|M|checking|
1523407939.867728|M|register internal trackpad|
1523407939.868077|STDEV|63|
1523407943.080109|M|mt_stop2|
1523407943.080343|M|checking|
1523407943.081574|M|unregister internal trackpad|
1523407943.082393|M|checking|
1523407943.083311|M|register internal trackpad|
1523407943.083553|STDEV|63|
1523407948.280843|M|mt_stop2|
1523407948.281021|M|checking|
1523407948.282404|M|unregister internal trackpad|
1523407948.282990|M|checking|
1523407948.283691|M|register internal trackpad|
1523407948.283867|STDEV|63|
1523407983.129754|M|mt_stop2|
1523407983.129894|M|checking|
1523407983.131311|M|unregister internal trackpad|
1523407983.132173|M|checking|
1523407983.132845|M|register internal trackpad|
1523407983.133042|STDEV|63|
1523408193.512735|usage|loading todays usage|
1523408193.542866|ASL|[Crashlytics] Version 3.9.3 (128)|
1523408193.554312|short|init|
1523408193.554339|short|no event tap functionality used|
1523408193.611565|LIC|idate 2018-04-11 00:56:33 +0000|
1523408193.615264|short|register all hotkeys|
1523408193.631091|LIC|closing previous instance of BetterTouchTool relaunch|
1523408193.635717|short|register disable hotkeys|
1523408193.637045|short|register disable hotkeys|
1523408193.638426|short|register all hotkeys|
1523408193.642755|LAUNCH|DIDLaunch|
1523408193.679910|ASL|new multitouch device recognized|
1523408193.680086|M|checking|
1523408193.682667|short|call sharedInstance4|
1523408193.692491|M|mt_stop10|
1523408193.692624|M|checking|
1523408193.694773|M|register internal trackpad|
1523408193.695116|STDEV|63|
1523408193.695167|swi|check device class|
1523408193.695175|swi|shortcuts used|
1523408194.731368|short|eventtap success|
1523408194.737975|short|register disable hotkeys|
1523408194.738970|short|register all hotkeys for current app|
1523408194.739776|short|register all hotkeys|
1523408195.421231|short|register all hotkeys for current app|
1523408195.423948|M|mt_stop2|
1523408195.424216|M|checking|
1523408195.425144|ASL|Bonjour Service Published: domain(local.) type(_bttremote._tcp.) name(lizzy) port(56900)|
1523408195.425831|M|unregister internal trackpad|
1523408195.426085|M|checking|
1523408195.426305|ASL|disabling touch for internal trackpad (clamshell)|
1523408195.426518|M|checking|
1523408195.427065|M|register internal trackpad|
1523408195.427257|STDEV|63|
1523408195.745341|ASL|[Crashlytics:Crash] Warning: NSApplicationCrashOnExceptions is not set. This will result in poor top-level uncaught exception reporting.|
1523408196.833855|short|register all hotkeys for current app|
1523408239.220781|M|mt_stop2|
1523408239.221027|M|checking|
1523408239.222448|M|unregister internal trackpad|
1523408239.223333|M|checking|
1523408239.224213|M|register internal trackpad|
1523408239.224447|STDEV|63|
1523408449.676710|M|mt_stop2|
1523408449.676910|M|checking|
1523408449.678534|M|unregister internal trackpad|
1523408449.679430|M|checking|
1523408449.680189|M|register internal trackpad|
1523408449.680430|STDEV|63|
1523408449.728477|M|mt_stop2|
1523408449.728692|M|checking|
1523408449.730534|M|unregister internal trackpad|
1523408449.731372|M|checking|
1523408449.732134|M|register internal trackpad|
1523408449.732346|STDEV|63|
1523408451.868737|M|mt_stop2|
1523408451.869034|M|checking|
1523408451.870823|M|unregister internal trackpad|
1523408451.871686|M|checking|
1523408451.872560|M|register internal trackpad|
1523408451.872828|STDEV|63|
1523408455.143491|M|mt_stop2|
1523408455.143792|M|checking|
1523408455.145376|M|unregister internal trackpad|
1523408455.146285|M|checking|
1523408455.147203|M|register internal trackpad|
1523408455.147443|STDEV|63|
1523408460.394493|M|mt_stop2|
1523408460.394683|M|checking|
1523408460.395906|M|unregister internal trackpad|
1523408460.396726|M|checking|
1523408460.397326|M|register internal trackpad|
1523408460.397509|STDEV|63|
1523408495.127172|M|mt_stop2|
1523408495.127366|M|checking|
1523408495.129280|M|unregister internal trackpad|
1523408495.130032|M|checking|
1523408495.130787|M|register internal trackpad|
1523408495.130968|STDEV|63|
1523408704.686187|M|mt_stop2|
1523408704.686438|M|checking|
1523408704.687845|M|unregister internal trackpad|
1523408704.689262|M|checking|
1523408704.690805|M|register internal trackpad|
1523408704.691074|STDEV|63|
1523408704.819923|M|mt_stop2|
1523408704.820105|M|checking|
1523408704.821805|M|unregister internal trackpad|
1523408704.822649|M|checking|
1523408704.823533|M|register internal trackpad|
1523408704.823835|STDEV|63|
1523408706.886405|M|mt_stop2|
1523408706.886669|M|checking|
1523408706.887950|M|unregister internal trackpad|
1523408706.888764|M|checking|
1523408706.889720|M|register internal trackpad|
1523408706.889970|STDEV|63|
1523408710.069721|M|mt_stop2|
1523408710.070011|M|checking|
1523408710.071263|M|unregister internal trackpad|
1523408710.072422|M|checking|
1523408710.073439|M|register internal trackpad|
1523408710.073698|STDEV|63|
1523408715.472024|M|mt_stop2|
1523408715.472278|M|checking|
1523408715.473840|M|unregister internal trackpad|
1523408715.474716|M|checking|
1523408715.475682|M|register internal trackpad|
1523408715.475921|STDEV|63|
1523408750.152671|M|mt_stop2|
1523408750.152793|M|checking|
1523408750.154494|M|unregister internal trackpad|
1523408750.155278|M|checking|
1523408750.155897|M|register internal trackpad|
1523408750.156089|STDEV|63|
1523408959.666578|M|mt_stop2|
1523408959.666821|M|checking|
1523408959.668830|M|unregister internal trackpad|
1523408959.669769|M|checking|
1523408959.670706|M|register internal trackpad|
1523408959.671008|STDEV|63|
1523408959.825463|M|mt_stop2|
1523408959.825756|M|checking|
1523408959.827538|M|unregister internal trackpad|
1523408959.828419|M|checking|
1523408959.829296|M|register internal trackpad|
1523408959.829544|STDEV|63|
1523408961.865644|M|mt_stop2|
1523408961.865900|M|checking|
1523408961.867683|M|unregister internal trackpad|
1523408961.868565|M|checking|
1523408961.869458|M|register internal trackpad|
1523408961.869710|STDEV|63|
1523408965.083218|M|mt_stop2|
1523408965.083512|M|checking|
1523408965.084709|M|unregister internal trackpad|
1523408965.085634|M|checking|
1523408965.086515|M|register internal trackpad|
1523408965.086842|STDEV|63|
1523408970.184844|M|mt_stop2|
1523408970.185120|M|checking|
1523408970.186390|M|unregister internal trackpad|
1523408970.187359|M|checking|
1523408970.188273|M|register internal trackpad|
1523408970.188476|STDEV|63|
1523409005.202434|M|mt_stop2|
1523409005.202678|M|checking|
1523409005.204432|M|unregister internal trackpad|
1523409005.205233|M|checking|
1523409005.206126|M|register internal trackpad|
1523409005.206368|STDEV|63|
1523409214.592441|usage|loading todays usage|
1523409214.633945|ASL|[Crashlytics] Version 3.9.3 (128)|
1523409214.646639|short|init|
